Дата,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Велосипед (мс),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс),Продолжительность: Прочее (мс)
2024-03-31,86,2202.957592330194,10846.929304736037,111.0,61,,,,0.7301367136476056,3.581854664147714,0.25813385277619444,10814,,,,,1552451,3062835,
2024-04-01,16,1632.1582222659003,871.7188461378682,4.0,4,,,,0.5442733215988831,1.553368655599821,0.34112386000869754,1215,,,,,914811,,
2024-04-02,92,1887.3568163845264,4934.9475299347805,24.0,24,,,,0.6554547669282822,1.668401457823887,0.27200889276783335,6970,,,,,5329520,155632,
2024-04-03,6,1600.2272415918637,341.685386617728,,,,,,0.37430246747019935,1.6722541200888206,0.28426990413289277,570,,,,,316963,,
2024-04-04,156,2030.7493148030242,9515.945647230197,60.0,60,,,,0.7849770196579275,1.6991897475705366,0.2501575156369456,13122,,,,,8371809,,
2024-04-05,155,2464.0077440821606,15024.312673681537,136.0,87,,,,0.7236692743271192,3.336396147029472,0.2615283118022613,16569,,,,,4903515,3201236,
2024-04-06,87,2199.916444291908,9535.036322454687,90.0,55,,,,0.6510985392893013,3.5590760213913386,0.2615283118022613,10015,,,,,3133081,2160462,
2024-04-07,70,2270.4547769880687,10440.307352277414,109.0,61,,,,0.5256517462875641,3.439594538965614,0.2501575156369456,10045,,,,,1553451,2922436,
2024-04-08,70,1779.4950626761859,3901.9094845399695,17.0,17,,,,0.9066019878869815,1.6219023750152135,0.2501575156369456,5514,,,,,3671349,,
2024-04-09,140,2447.913177623656,14091.170134405136,125.0,74,,,,1.3556162825197768,3.0846413216207607,0.26341613335700403,15449,,,,,5058333,3133393,
2024-04-10,142,2023.0520664264807,8119.376380754819,40.0,40,,,,0.6151498199574866,1.7122526816651238,0.2545700474099267,11300,,,,,8227484,,
2024-04-11,39,1665.8327332598328,1813.2426163940913,3.0,3,,,,0.6738035072899844,1.56060653586057,0.2615283118022613,2628,,,,,1544957,,
2024-04-12,73,1795.252384726325,4050.9883489710533,27.0,27,,,,0.490393415630194,1.6720843664227836,0.2615283118022613,5714,,,,241678,3707378,,
2024-04-13,32,1704.4573983420316,2005.5797977517427,13.0,13,,,,0.48632978077539146,1.5499919302888225,0.28426990413289277,3115,,,,,2267547,,
2024-04-14,67,2235.1082560473583,9685.293595529412,102.0,55,,,,0.6774090875598524,3.2062190370353965,0.2501575156369456,9302,,,,,1122346,3029267,
2024-04-15,19,1644.0709080578677,1088.710612284639,5.0,5,,,,0.5097266361705566,1.5232135873843429,0.24863256412471726,1549,,,,,1137837,,
2024-04-16,26,1678.2049157830706,1134.3024702325129,2.0,2,,,,0.5848853453759729,1.737455512674954,0.2956407002982085,1700,,,,,1775364,,
2024-04-17,75,1832.1672797063197,4808.971635867533,34.0,33,,,,0.5862198729128464,1.9906249699573368,0.2501575156369456,6556,,,,,4656364,,
2024-04-18,89,2118.5227063613343,9493.1552308287,114.0,61,85.18621973929237,164.0,60.0,0.9322995518265156,3.435291027954979,0.0,10826,,,,,2549317,3135188,
2024-04-19,121,1924.2645130544306,6824.187249832499,35.0,35,74.92785493827161,109.0,48.0,0.4389689382175092,1.6329593677122105,0.0,9254,,,,,6573758,,1320000
2024-04-20,36,1676.1850508421028,73.99165332317352,8.0,8,86.932944606414,102.0,60.0,0.7589021332177796,1.608109630317413,5.795085343761721E-4,109,,,,,1738628,,
2024-04-21,75,1971.2025204155652,6815.601405157564,71.0,36,83.16863033873344,122.0,56.0,0.74826037541455,3.3821475452905445,0.004263117283950618,7523,,,,,1109457,2126331,1320000
2024-04-22,36,1650.7706908238115,196.0,6.0,6,77.81479967293541,100.0,48.0,0.47353688657707865,1.7418192518131739,0.0011065006915629322,291,,,,,1258731,,360000
2024-04-23,106,2187.7375003159814,9381.812005466843,119.0,72,81.57367149758454,115.0,55.0,0.6852648470522041,3.5220893443080583,0.0,13077,,,,,3186673,2847304,
2024-04-24,174,2328.056431479662,15652.786990930286,140.0,93,77.08866481223922,127.0,48.0,0.5242243996529533,3.5265034678469886,0.0,18183,,,,,7370097,2858170,
